service_id,service_name,entity_id,service_category,life_events,delivery_channel,target_consumers,enhanced_description,
SVC-IMM-001,Passport Application,DEP-009,immigration_passports_and_travel,"traveling_abroad,coming_to_grenada","office,web_portal",citizen,"Apply for a new Grenadian passport. Process: Submit application with birth certificate, citizenship certificate, photos, and supporting documents. Address: Immigration Department, Ministerial Complex, St. George's. Phone: (473) 440-2113. Web: gov.gd/immigration, rgpf.gd/immigration. SLA: 4-6 weeks standard processing.",
SVC-IMM-002,Passport Renewal,DEP-009,immigration_passports_and_travel,traveling_abroad,"office,web_portal",citizen,"Renew an existing Grenadian passport. Process: Submit renewal application with expired passport, photos, and required documents. Address: Immigration Department, Ministerial Complex, St. George's. Phone: (473) 440-2113. Web: gov.gd/immigration. SLA: 3-4 weeks.",
SVC-IMM-003,Visa / Entry Permit Application,DEP-009,immigration_passports_and_travel,coming_to_grenada,office,visitor,"Apply for or extend visas or entry permits to enter or remain in Grenada. Process: Submit visa application with passport, photos, proof of funds, and travel itinerary. Address: Immigration Department, Ministerial Complex, St. George's. Phone: (473) 440-2113. Web: edcard.gov.gd for online pre-registration.",
SVC-LBR-001,Work Permit Application,DEP-012,business_and_commerce,"coming_to_grenada,starting_work",office,"business,visitor","Apply for a work permit for foreign nationals to work in Grenada. Process: Employer submits application with job offer, qualifications, and supporting documents. Address: Ministry of Labour, Ministerial Complex, St. George's. Phone: (473) 440-2731. SLA: 4-6 weeks processing.",
SVC-TAX-001,Business Registration (Taxpayer Registration Number - TRN),DEP-010,taxation_duties_and_revenue,starting_a_business,"office,web_portal",business,"Register a new business or taxpayer with the Inland Revenue Division to obtain a Taxpayer Registration Number. Process: Complete TRN application form with business registration documents. Address: Inland Revenue Division, Young Street, St. George's. Phone: (473) 440-3556. Web: ird.gd, taxservices.gov.gd. SLA: 5-10 business days.",
SVC-TAX-002,Personal Income Tax Filing,DEP-010,taxation_duties_and_revenue,starting_work,"office,web_portal,email",citizen,"File personal income tax returns with the Inland Revenue Division. Process: Submit annual tax return by March 31 following tax year. Address: Inland Revenue Division, Young Street, St. George's. Phone: (473) 440-3556. Web: taxservices.gov.gd. SLA: Filing deadline March 31.",
SVC-TAX-003,Corporate Income Tax Filing,DEP-010,taxation_duties_and_revenue,starting_a_business,"office,web_portal",business,"File corporate income tax returns with the Inland Revenue Division. Process: Submit annual corporate tax return with financial statements. Address: Inland Revenue Division, Young Street, St. George's. Phone: (473) 440-3556. Web: taxservices.gov.gd. SLA: Filing deadline 3 months after fiscal year end.",
SVC-TAX-004,Tax Clearance Certificate,DEP-010,taxation_duties_and_revenue,"starting_a_business,traveling_abroad","office,web_portal","citizen,business","Apply for a tax clearance certificate for personal or business purposes. Process: Request certificate showing taxes are current. Address: Inland Revenue Division, Young Street, St. George's. Phone: (473) 440-3556. Web: ird.gd. SLA: 3-5 business days.",
SVC-TAX-005,E-User Registration (Tax e-Filing System),DEP-010,taxation_duties_and_revenue,"starting_a_business,starting_work",web_portal,"citizen,business",Register as an e-user to access Grenada's online tax e-filing system through the tax portal. Process: Complete online registration to receive login credentials. Web: taxservices.gov.gd. SLA: Immediate activation upon approval.,
SVC-TAX-006,Property Tax Payment,DEP-010,taxation_duties_and_revenue,buying_property,"office,web_portal","citizen,business","Pay annual property tax using Inland Revenue payment channels including the online tax portal. Process: Pay based on property valuation assessment. Address: Inland Revenue Division, Young Street, St. George's. Phone: (473) 440-3556. Web: my.gov.gd, pay.gov.gd. SLA: Due annually.",
SVC-TAX-007,Vehicle Licence Fee Payment,DEP-010,taxation_duties_and_revenue,buying_a_vehicle,"office,web_portal","citizen,business","Pay annual vehicle licence fees using Inland Revenue payment channels. Process: Pay annual fee based on vehicle type and engine size. Address: Inland Revenue Division, Young Street, St. George's. Phone: (473) 440-3556. Web: my.gov.gd. SLA: Due annually before expiry.",
